0.4000,1.0021,0.6088,0.1490
0.2000,0.7868,1.6208,0.1576
0.6000,0.8974,0.7984,0.6186
0.8000,0.8581,1.7430,0.5689
0.8000,1.2108,0.7176,0.5240
0.4000,1.0701,1.6892,0.9804
0.6000,1.0785,0.6406,0.4987
0.2000,1.1225,1.7288,0.7646
0.8000,0.8274,0.7766,0.6529
0.8000,0.9117,1.6672,0.2874
0.0000,1.2664,0.8271,0.2542
0.0000,0.9800,1.7449,0.1921
0.4000,1.0456,0.7725,0.3453
0.4000,1.2124,1.6482,0.8407
0.0000,1.1734,0.6300,0.1333
0.4000,1.0989,1.6783,0.2162
0.8000,0.8375,0.7248,0.3685
0.4000,0.4452,1.8738,0.5018
0.8000,1.3380,0.7809,0.9066
0.0000,1.1238,1.8948,0.3374
0.4000,0.8649,0.7035,0.3777
0.6000,0.6674,1.5123,0.6188
0.0000,0.9485,0.6346,0.7878
0.6000,1.2731,1.8045,0.6784
0.0000,1.2317,0.9856,0.7485
0.8000,0.8042,1.6864,0.8364
0.4000,1.0456,0.7460,0.3113
0.8000,1.1593,1.8387,0.3219
0.4000,1.0820,0.6576,0.8208
0.0000,0.8356,1.7154,0.2653
0.2000,0.6707,0.7268,0.9949
0.0000,0.8052,1.6937,0.4527
0.4000,1.1758,0.9498,0.1208
0.0000,0.6362,1.8669,0.7622
0.6000,0.5411,0.6778,0.2556
0.8000,1.0820,1.6680,0.4516
0.8000,1.2723,0.7186,0.4821
0.0000,0.6725,1.7756,0.3096
0.2000,1.3001,0.7829,0.9449
0.4000,0.9532,1.7306,0.8756
0.0000,1.0936,0.7849,0.5714
0.0000,0.3710,1.6978,0.4988
0.6000,0.8409,0.7587,0.0974
0.0000,0.4341,1.8155,0.1862
0.4000,0.5674,0.8146,0.1783
0.6000,0.8638,1.7672,0.4087
0.0000,1.4186,0.6741,0.7554
0.0000,1.2442,2.0056,0.9869
0.4000,0.9917,0.9224,0.3406
0.8000,0.9852,1.9383,0.1947
